ï»¿Ano,UF,IBC,Cobertura Pop. 4G5G,Densidade SMP,HHI SMP,Densidade SCM,HHI SCM,Adensamento EstaÃ§Ãµes,Fibra,Cobertura Ã¡rea agricultÃ¡vel
2023.0,TO,"47,32","0,8348","65,04",5002.0,"9,29",964.0,"5,61","0,52517985611511",0
2022.0,AC,"41,62","0,7808","61,26",4134.0,"9,00",2706.0,"3,36","0,81818181818182",0
2022.0,AL,"44,15","0,9081","56,79",3329.0,"6,22",1395.0,"3,74","0,58823529411765",0
2022.0,AM,"32,89","0,8082","60,09",4087.0,"8,18",1959.0,"3,02","0,37096774193548",0
2022.0,AP,"53,11","0,9009","64,61",3461.0,"11,65",4141.0,"3,34","0,6875",0
2022.0,BA,"43,87","0,8313","60,15",3345.0,"7,65",496.0,"3,15","0,65947242206235",0
2022.0,CE,"59,74","0,9289","57,59",3360.0,"11,50",1135.0,"3,70","0,91304347826087",0
2022.0,DF,"95,60","0,9979","70,48",3312.0,"19,71",2371.0,"6,98",1,0
2022.0,ES,"71,97","0,9420","67,66",5871.0,"13,99",975.0,"5,32","0,92307692307692",0
2022.0,GO,"69,55","0,9312","68,13",3475.0,"12,53",1024.0,"4,25","0,83333333333333",0
2022.0,MA,"25,28","0,7738","46,72",3470.0,"5,43",708.0,"2,78","0,70046082949309",0
2022.0,MG,"69,43","0,9336","65,27",3593.0,"15,88",550.0,"4,51","0,65533411488863",0
2022.0,MS,"64,63","0,8823","66,44",3872.0,"13,18",1054.0,"4,26","0,83544303797468",0
2022.0,MT,"61,12","0,8358","67,79",3921.0,"13,13",950.0,"4,33","0,76595744680851",0
2022.0,PA,"36,25","0,7883","56,77",3475.0,"5,92",816.0,"3,17","0,71527777777778",0
2022.0,PB,"49,74","0,9246","54,00",3398.0,"10,51",1873.0,"3,93","0,65919282511211",0
2022.0,PE,"55,06","0,9327","61,56",3351.0,"6,99",534.0,"3,76","0,74054054054054",0
2022.0,PI,"35,97","0,7670","54,78",3508.0,"8,10",748.0,"3,89","0,60714285714286",0
2022.0,PR,"78,26","0,9413","65,87",3765.0,"17,89",817.0,"4,90","0,89473684210526",0
2022.0,RJ,"86,29","0,9924","70,51",3255.0,"15,84",1632.0,"5,30",1,0
2022.0,RN,"55,03","0,9226","58,38",3304.0,"13,88",1619.0,"4,27","0,46107784431138",0
2022.0,RO,"49,24","0,7696","65,97",4353.0,"12,41",1378.0,"3,81","0,69230769230769",0
2022.0,RR,"31,76","0,7727","61,86",4007.0,"8,81",4535.0,"2,92","0,53333333333333",0
2022.0,RS,"80,17","0,9430","65,14",3804.0,"18,96",824.0,"5,40","0,87122736418511",0
2022.0,SC,"86,02","0,9468","68,72",3469.0,"20,16",861.0,"4,84","0,9864406779661",0
2022.0,SE,"55,90","0,9422","61,72",5045.0,"10,54",655.0,"3,14","0,8",0
2022.0,SP,"88,62","0,9932","70,72",3034.0,"20,37",1917.0,"4,40","0,95348837209302",0
2022.0,TO,"46,17","0,8333","63,18",4706.0,"7,49",1130.0,"5,24","0,52517985611511",0
2021.0,AC,"33,41","0,7765","54,00",3811.0,"6,83",3401.0,"2,72","0,81818181818182",0
2021.0,AL,"49,01","0,8759","54,79",2609.0,"4,69",1254.0,"3,30","0,97058823529412",0
2021.0,AM,"30,94","0,8054","55,85",3329.0,"6,78",2560.0,"2,53","0,45161290322581",0
2021.0,AP,"39,14","0,8961","54,05",2851.0,"9,03",4325.0,"2,60","0,5625",0
2021.0,BA,"45,34","0,7890","58,01",2599.0,"6,81",611.0,"2,68","0,88729016786571",0
2021.0,CE,"58,91","0,8849","59,21",2695.0,"9,76",1031.0,"3,20","0,95652173913043",0
2021.0,DF,"94,06","0,9966","71,02",2831.0,"17,66",2527.0,"5,61",1,0
2021.0,ES,"64,43","0,9249","63,19",5353.0,"11,77",1081.0,"4,48","0,84615384615385",0
2021.0,GO,"63,37","0,9233","64,59",2946.0,"10,58",1142.0,"3,64","0,71951219512195",0
2021.0,MA,"26,88","0,7401","49,28",2735.0,"3,88",1021.0,"2,38","0,77880184331797",0
2021.0,MG,"65,79","0,8960","63,09",3006.0,"13,13",650.0,"3,83","0,77608440797186",0
2021.0,MS,"61,09","0,8800","62,18",3625.0,"10,74",1391.0,"3,75","0,91139240506329",0
2021.0,MT,"63,62","0,8290","66,22",3699.0,"11,14",839.0,"3,88","0,95035460992908",0
2021.0,PA,"32,13","0,7472","53,59",2781.0,"4,51",965.0,"2,64","0,74305555555556",0
2021.0,PB,"53,95","0,8907","59,60",2834.0,"8,93",1767.0,"3,55","0,71748878923767",0
2021.0,PE,"54,69","0,9104","60,69",2712.0,"5,42",632.0,"3,25","0,82162162162162",0
2021.0,PI,"32,13","0,7377","54,59",2756.0,"6,93",871.0,"3,58","0,38839285714286",0
2021.0,PR,"76,20","0,9141","63,73",3469.0,"15,75",912.0,"4,44",1,0
2021.0,RJ,"82,97","0,9856","68,09",2702.0,"13,75",1777.0,"4,50",1,0
2021.0,RN,"56,46","0,8995","58,20",2863.0,"11,38",1611.0,"3,65","0,70059880239521",0
2021.0,RO,"43,02","0,7635","58,17",3772.0,"9,50",1858.0,"2,85","0,86538461538462",0
2021.0,RR,"33,94","0,7697","54,76",3941.0,"8,21",4957.0,"2,76","0,86666666666667",0
2021.0,RS,"72,52","0,9170","60,71",3451.0,"16,35",869.0,"4,35","0,91348088531187",0
2021.0,SC,"84,72","0,9068","68,70",3242.0,"19,76",983.0,"4,32",1,0
2021.0,SE,"52,61","0,9202","58,45",4488.0,"8,87",714.0,"2,73","0,88",0
2021.0,SP,"86,70","0,9875","71,34",2691.0,"17,71",2105.0,"3,84","0,95658914728682",0
2021.0,TO,"41,59","0,8249","58,07",3928.0,"5,01",1617.0,"3,87","0,66187050359712",0
0.0,0,0,0,0,0.0,0,0.0,0,0,0
